Algorithm,Num_Agents,Trial_ID,Success (1/0),Runtime (s),Nodes_Expanded,Cost
CBS,1,1,1,0.0000,1,6
CBS,1,2,1,0.0000,1,3
CBS,1,3,1,0.0000,1,9
CBS,1,4,1,0.0000,1,5
CBS,1,5,1,0.0000,1,4
CBS,1,6,1,0.0000,1,7
CBS,1,7,1,0.0000,1,10
CBS,1,8,1,0.0000,1,8
CBS,1,9,1,0.0000,1,10
CBS,1,10,1,0.0000,1,10
CBS,1,11,1,0.0000,1,10
CBS,1,12,1,0.0000,1,4
CBS,1,13,1,0.0000,1,3
CBS,1,14,1,0.0000,1,4
CBS,1,15,1,0.0000,1,11
CBS,1,16,1,0.0000,1,6
CBS,1,17,1,0.0000,1,8
CBS,1,18,1,0.0000,1,10
CBS,1,19,1,0.0000,1,8
CBS,1,20,1,0.0000,1,2
CBS,2,1,1,0.0020,12,11
CBS,2,2,1,0.0000,1,8
CBS,2,3,1,0.0000,2,17
CBS,2,4,1,0.0000,1,17
CBS,2,5,1,0.0000,1,8
CBS,2,6,1,0.0000,1,15
CBS,2,7,1,0.0000,1,14
CBS,2,8,1,0.0000,1,12
CBS,2,9,1,0.0000,1,6
CBS,2,10,1,0.0000,1,11
CBS,2,11,1,0.0000,1,12
CBS,2,12,1,0.0000,1,14
CBS,2,13,1,0.0000,1,6
CBS,2,14,1,0.0000,1,11
CBS,2,15,1,0.0010,2,14
CBS,2,16,1,0.0091,7,15
CBS,2,17,1,0.0020,4,18
CBS,2,18,1,0.0000,1,17
CBS,2,19,1,0.0000,1,11
CBS,2,20,1,0.0000,2,12
CBS,3,1,1,0.0000,3,20
CBS,3,2,1,0.0010,2,18
CBS,3,3,1,0.0000,1,13
CBS,3,4,1,0.0000,1,18
CBS,3,5,1,0.0010,3,23
CBS,3,6,1,0.0030,6,22
CBS,3,7,1,0.0000,1,14
CBS,3,8,1,0.0000,1,15
CBS,3,9,1,0.0061,10,25
CBS,3,10,1,0.0000,4,26
CBS,3,11,1,0.0000,2,23
CBS,3,12,1,0.0000,1,31
CBS,3,13,1,0.0000,1,14
CBS,3,14,1,0.0010,4,18
CBS,3,15,1,0.0000,1,12
CBS,3,16,1,0.0068,8,23
CBS,3,17,1,0.0000,1,23
CBS,3,18,1,0.0060,5,23
CBS,3,19,1,0.0000,1,14
CBS,3,20,1,0.0026,13,16
CBS,4,1,1,0.0247,17,39
CBS,4,2,1,0.0050,19,32
CBS,4,3,1,0.0000,2,18
CBS,4,4,1,0.0018,4,35
CBS,4,5,1,0.0000,1,15
CBS,4,6,1,0.0010,3,25
CBS,4,7,1,0.0000,1,24
CBS,4,8,1,0.0277,16,43
CBS,4,9,1,0.0040,10,27
CBS,4,10,1,0.0000,1,22
CBS,4,11,1,0.0111,8,24
CBS,4,12,1,0.0020,3,36
CBS,4,13,1,0.0000,2,28
CBS,4,14,1,0.0149,49,33
CBS,4,15,1,0.0004,2,20
CBS,4,16,1,0.0017,5,19
CBS,4,17,1,0.0000,1,22
CBS,4,18,1,0.0000,11,30
CBS,4,19,1,0.0000,1,20
CBS,4,20,1,0.0072,6,23
CBS,5,1,1,0.0000,1,29
CBS,5,2,1,0.0214,42,41
CBS,5,3,1,0.0133,30,39
CBS,5,4,1,0.0087,13,38
CBS,5,5,1,0.1122,53,44
CBS,5,6,1,0.0060,32,23
CBS,5,7,1,0.0023,7,35
CBS,5,8,1,0.0020,4,29
CBS,5,9,1,0.0593,81,48
CBS,5,10,1,0.0073,14,29
CBS,5,11,1,0.0986,212,39
CBS,5,12,1,0.0000,3,31
CBS,5,13,1,0.0000,1,24
CBS,5,14,1,0.0169,10,44
CBS,5,15,1,0.0118,9,34
CBS,5,16,1,0.0000,3,37
CBS,5,17,1,0.0000,3,25
CBS,5,18,1,0.0000,2,24
CBS,5,19,1,4.3186,3027,48
CBS,5,20,1,0.0000,1,35
CBS,6,1,1,0.0265,52,43
CBS,6,2,1,0.5355,842,36
CBS,6,3,1,0.8571,2006,48
CBS,6,4,1,0.0000,4,43
CBS,6,5,1,0.0000,3,29
CBS,6,6,1,0.0000,4,47
CBS,6,7,1,0.0309,120,38
CBS,6,8,1,0.0676,77,43
CBS,6,9,1,0.0104,16,39
CBS,6,10,1,0.0047,13,28
CBS,6,11,1,0.0011,16,43
CBS,6,12,1,0.0169,31,41
CBS,6,13,1,0.0383,110,47
CBS,6,14,1,0.0000,4,34
CBS,6,15,1,0.0000,3,44
CBS,6,16,1,0.0000,11,42
CBS,6,17,1,0.0665,98,39
CBS,6,18,1,0.1484,216,50
CBS,6,19,1,2.5475,3169,40
CBS,6,20,1,0.0100,13,43
CBS,7,1,1,0.0000,2,33
CBS,7,2,1,0.0795,29,44
CBS,7,3,1,0.0010,9,43
CBS,7,4,1,0.0666,99,32
CBS,7,5,1,0.1267,247,46
CBS,7,6,1,0.0694,215,47
CBS,7,7,0,180.0073,155635,-1
CBS,7,8,1,0.5095,810,51
CBS,7,9,1,0.1694,435,54
CBS,7,10,1,0.0000,2,31
CBS,7,11,1,0.0320,80,50
CBS,7,12,1,0.1306,239,38
CBS,7,13,1,0.0010,3,41
CBS,7,14,0,180.0075,230951,-1
CBS,7,15,1,0.0800,268,51
CBS,7,16,1,0.0100,29,36
CBS,7,17,1,0.0000,8,53
CBS,7,18,1,0.0000,4,41
CBS,7,19,1,0.0000,9,31
CBS,7,20,1,0.0100,18,48
CBS,8,1,0,180.0027,107576,-1
CBS,8,2,1,0.0524,75,51
CBS,8,3,1,0.0124,19,67
CBS,8,4,1,0.0010,4,43
CBS,8,5,1,0.0941,207,54
CBS,8,6,1,0.0141,61,48
CBS,8,7,1,1.8238,3401,65
CBS,8,8,0,180.0067,220163,-1
CBS,8,9,1,2.5510,3726,51
CBS,8,10,0,180.0087,240752,-1
CBS,8,11,1,0.4731,676,46
CBS,8,12,1,0.0000,14,43
CBS,8,13,1,3.8614,17708,49
CBS,8,14,1,0.0000,7,54
CBS,8,15,0,180.0023,316182,-1
CBS,8,16,0,180.0090,456052,-1
CBS,8,17,0,180.0058,445071,-1
CBS,8,18,1,0.2779,1017,56
CBS,8,19,1,74.0873,123301,68
CBS,8,20,1,0.0286,24,47
CBS,9,1,1,1.7337,4361,75
CBS,9,2,0,180.0008,355707,-1
CBS,9,3,1,0.0931,227,62
CBS,9,4,1,14.9303,33290,57
CBS,9,5,0,285.2632,111332,-1
CBS,9,6,1,69.1721,112156,78
CBS,9,7,1,0.8233,2545,64
CBS,9,8,1,0.0377,48,51
CBS,9,9,1,1.7242,4389,82
CBS,9,10,1,0.6336,1877,63
